Country,Year,% Pop growth,"Population, Female","Population, Male","Population, Total",Suicide Rate (per 100k Total Pop),Suicide Rate (per 100k Fem),Suicide Rate (per 100k Male)
Afghanistan,2010,2.746614638,14249755,14935756,29185511,4.3,3.9,4.6
Afghanistan,2011,3.143105557,14702050,15415361,30117411,4.1,3.8,4.5
Afghanistan,2012,3.407600033,15196504,15964874,31161378,4,3.7,4.3
Afghanistan,2013,3.494591927,15715314,16554278,32269592,4,3.7,4.3
Afghanistan,2014,3.355602331,16232001,17138803,33370804,3.9,3.6,4.2
Afghanistan,2015,3.077053629,16727437,17686166,34413603,4,3.6,4.3
Afghanistan,2016,2.778034788,17196034,18186994,35383028,4,3.6,4.4
Afghanistan,2017,2.54783304,17644126,18651985,36296111,4.1,3.4,4.6
Afghanistan,2018,2.384309079,18078879,19093043,37171922,4.1,3.5,4.6
Afghanistan,2019,2.313073349,18512030,19529727,38041757,4.1,3.6,4.6
Angola,2010,3.671493333,11806970,11549277,23356247,7,2.9,11.2
Angola,2011,3.634150215,12245836,11974824,24220660,6.6,2.7,10.6
Angola,2012,3.597754539,12694373,12413552,25107925,6.9,2.7,11.2
Angola,2013,3.551997427,13151985,12863801,26015786,6.9,2.6,11.3
Angola,2014,3.497447411,13618285,13323488,26941773,6.4,2.4,10.4
Angola,2015,3.438869368,14093136,13791244,27884380,6.5,2.6,10.5
Angola,2016,3.378269432,14576127,14266355,28842482,6.2,2.6,10
Angola,2017,3.322158363,15067450,14749319,29816769,6,2.4,9.7
Angola,2018,3.276144588,15568328,15241459,30809787,6,2.3,9.8
Angola,2019,3.242914028,16080520,15744779,31825299,6.1,2.3,10
Bangladesh,2010,1.124806897,72559741,75015692,147575433,4.4,2.4,6.3
Bangladesh,2011,1.143828671,73463440,75809694,149273134,4,2.2,5.6
Bangladesh,2012,1.154006105,74361840,76643893,151005733,3.7,2.2,5.1
Bangladesh,2013,1.155950914,75256812,77504601,152761413,3.5,2,5
Bangladesh,2014,1.142930216,76149165,78368220,154517385,3.5,1.8,5.1
Bangladesh,2015,1.119091033,77039130,79217157,156256287,3.4,1.8,5
Bangladesh,2016,1.095288404,77928241,80048910,157977151,3.4,1.7,5.1
Bangladesh,2017,1.075535249,78816353,80869068,159685421,3.5,1.6,5.3
Bangladesh,2018,1.0535703,79699596,81677117,161376713,3.6,1.6,5.5
Bangladesh,2019,1.029196649,80572382,82473791,163046173,3.7,1.7,5.7
Ethiopia,2010,2.783756927,43912483,43727479,87639962,7.1,4.4,9.7
Ethiopia,2011,2.812613737,45150001,44989927,90139928,6.7,4.1,9.3
Ethiopia,2012,2.829627968,46426769,46300213,92726982,6.1,3.6,8.6
Ethiopia,2013,2.827014885,47737068,47648725,95385793,5.7,3.2,8.1
Ethiopia,2014,2.799924688,49072577,49021687,98094264,5.5,3.2,7.8
Ethiopia,2015,2.756111616,50426864,50408589,100835453,5.5,3.2,7.9
Ethiopia,2016,2.708072653,51797604,51805857,103603461,5.5,3.1,7.8
Ethiopia,2017,2.663414482,53185201,53214725,106399926,5.4,3.1,7.7
Ethiopia,2018,2.619969171,54589146,54635264,109224410,5.4,3.1,7.7
Ethiopia,2019,2.579697088,56009719,56069008,112078727,5.4,3.1,7.7
France,2010,0.494040603,33528500,31499005,65027505,18.2,10.4,26.5
France,2011,0.483675544,33686256,31656533,65342789,18,9.9,26.6
France,2012,0.483998961,33845372,31814442,65659814,17.8,9.7,26.4
France,2013,0.514773829,34017119,31981566,65998685,17,9.4,25
France,2014,0.473706908,34178119,32133948,66312067,15.6,8.8,22.9
France,2015,0.35556924,34302345,32245927,66548272,15.8,8.4,23.7
France,2016,0.263868789,34399175,32324929,66724104,14.9,8,22.3
France,2017,0.290202116,34508584,32409436,66918020,14.6,8,21.7
France,2018,0.274451849,34614021,32487909,67101930,14.2,7.8,21.1
France,2019,0.218824149,34698686,32550240,67248926,13.8,7.6,20.4
Germany,2010,-0.153198447,41692491,40084439,81776930,13.2,6.8,20
Germany,2011,-1.853714629,40903005,39371978,80274983,13.2,6.7,20
Germany,2012,0.187727801,40956600,39469223,80425823,12.9,7,18.9
Germany,2013,0.272900215,41043963,39601642,80645605,13.4,7.2,19.9
Germany,2014,0.416877359,41187119,39795381,80982500,13.4,6.9,20.1
Germany,2015,0.865702644,41511610,40175001,81686611,13.3,7.3,19.5
Germany,2016,0.807218539,41808130,40540539,82348669,13,6.8,19.4
Germany,2017,0.37372456,41919970,40737032,82657002,12.6,6.6,18.8
Germany,2018,0.300526702,42000374,40905408,82905782,12.9,6.8,19.2
Germany,2019,0.225519874,42053302,41039660,83092962,12.3,6.2,18.6
Japan,2010,0.017960542,65426533,62643467,128070000,24.1,13.8,34.9
Japan,2011,-0.185226486,65322325,62510675,127833000,23.4,14.3,32.8
Japan,2012,-0.159710676,65232461,62396539,127629000,21.6,12.9,30.7
Japan,2013,-0.144271883,65150796,62294204,127445000,21.4,12.9,30.2
Japan,2014,-0.132694222,65075452,62200548,127276000,20.1,12.3,28.2
Japan,2015,-0.106124994,65016722,62124278,127141000,19.1,11.4,27.2
Japan,2016,-0.051137415,64993146,62082854,127076000,17.5,10.5,24.8
Japan,2017,-0.081874296,64949030,62022970,126972000,17,10.1,24.2
Japan,2018,-0.126880068,64875568,61935432,126811000,16.7,10.2,23.5
Japan,2019,-0.140464978,64793688,61839312,126633000,15.3,9.2,21.8
Sudan,2010,2.228245116,17312732,17232282,34545014,4,2.9,5.2
Sudan,2011,2.30259996,17719718,17629958,35349676,4.1,3,5.3
Sudan,2012,2.359808168,18140461,18053320,36193781,4,2.9,5.1
Sudan,2013,2.398962995,18574540,18498015,37072555,4,2.9,5.2
Sudan,2014,2.412107467,19020771,18956886,37977657,3.9,2.8,5.1
Sudan,2015,2.40720187,19478321,19424627,38902948,3.9,2.8,5
Sudan,2016,2.398795478,19947203,19900230,39847433,3.9,2.8,4.9
Sudan,2017,2.395242326,20427932,20385466,40813398,3.8,2.8,4.9
Sudan,2018,2.392257972,20920586,20880946,41801532,3.9,2.8,4.9
Sudan,2019,2.39143409,21425281,21387956,42813237,3.8,2.8,4.9
United Kingdom,2010,0.783888647,31931743,30834622,62766365,7.8,3.7,12.1
United Kingdom,2011,0.781506562,32161519,31097291,63258810,8.3,3.9,12.8
United Kingdom,2012,0.695353132,32364469,31335746,63700215,8.2,3.7,13
United Kingdom,2013,0.669740536,32560344,31567929,64128273,8.8,3.8,14
United Kingdom,2014,0.736463979,32780144,31822154,64602298,8.6,4,13.4
United Kingdom,2015,0.792367506,33021393,32094826,65116219,8.8,4.4,13.4
United Kingdom,2016,0.757874493,33254646,32356947,65611593,8.5,4.1,13
United Kingdom,2017,0.679374474,33464674,32594185,66058859,8.2,4.1,12.5
United Kingdom,2018,0.605929132,33652378,32807966,66460344,8.1,4.1,12.2
United Kingdom,2019,0.564131113,33827559,33008768,66836327,7.9,4,11.8
United States,2010,0.829616675,156560332,152766811,309327143,13.1,5.8,20.5
United States,2011,0.726786705,157660006,153923475,311583481,13.4,6,20.9
United States,2012,0.733599941,158770009,155107653,313877662,13.5,6.1,21.1
United States,2013,0.692860277,159819809,156240138,316059947,13.5,6.2,21
United States,2014,0.73336152,160946434,157439895,318386329,14,6.5,21.6
United States,2015,0.736217309,162095782,158643212,320738994,14.4,6.8,22.2
United States,2016,0.724676067,163245938,159825817,323071755,15.1,7,23.5
United States,2017,0.632643995,164262696,160859432,325122128,15.9,7.1,24.9
United States,2018,0.526435396,165118706,161719493,326838199,15.7,7.2,24.3
United States,2019,0.455381286,165867325,162462628,328329953,16.1,7.5,25
